coverage_id,source_page_start,source_page_end,section_number,heading,item_type,treatment,owner_key,render_location,readiness_check,status,review_note
COV-175,36,36,Section III.4.2(b),"If Tenderer is a manufacturer - Experience and Technical Capacity (comparable supply contracts, number and period)",blank,Officer value,submission.comparable_experience.count; submission.comparable_experience.period_years,complete_tender.html - Section III.4.2(b),"present in Task 4 when justified, matches STD-TPL-001 S7.2 'Comparable supply experience, if justified' and S13 fixture value (2 contracts in 5 years)",Reviewed,
COV-176,36,37,Section III.4.2(c),If Tenderer is a manufacturer - (Optional) Documentary Evidence of Usage of Goods,blank,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,Not in the S7.2/S9.3 finite evidence list; overlaps with comparable supply experience already carried by that key.
COV-177,37,37,Section III.4.3,If Tenderer is a Supplier (not manufacturer) - Financial capability and experience thresholds,blank,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,Financial-capability thresholds are not in the S7.2/S9.3 finite list; the supplier-path experience threshold duplicates the single comparable-experience key already covered under 4.2(b).
COV-178,37,37,Section III.4.4,History of non-performing contracts,blank,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,Not in the STD-TPL-001 S7.2/S9.3 finite evidence list for this release.
COV-179,37,37,Section III.4.5,Pending Litigation,blank,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,Not in the STD-TPL-001 S7.2/S9.3 finite evidence list for this release.
COV-180,37,37,Section III.4.6,Litigation History,blank,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,Not in the STD-TPL-001 S7.2/S9.3 finite evidence list for this release.
COV-181,40,40,Section IV,Section IV - Tendering Forms (heading and forms index),heading,Locked,"Section IV heading, unmodified",complete_tender.html - Section IV heading,"present verbatim, unedited",Reviewed,
COV-182,40,42,Section IV,Form of Tender - instructions to Tenderers on preparation (i-iii),form,Locked,"Section IV - Form of Tender, instructions block",complete_tender.html - Section IV - Form of Tender,"present verbatim, unedited",Reviewed,"Gate D remediation - review sweep: source Form of Tender preparer instruction (i), ""All italicized text is to help the Tenderer in preparing this form,"" is not carried into the rendered instructions paragraph (complete_tender.html line 691); only instructions (ii)/(iii) survive, merged into one sentence. Row's readiness_check overstates this as ""present verbatim, unedited."" See open_issues.md Gate D remediation - review sweep findings, item 36. Resolved 2026-08-28 (Gate D second-round decision): Restored the 'All italicized text is to help the Tenderer in preparing this form' sentence per product-owner decision (#36)."
COV-183,40,40,Section IV,Form of Tender - Date of Tender submission [insert date],blank,Supplier response,Form of Tender,complete_tender.html - Section IV - Form of Tender,supplier-entered submission date present,Reviewed,
COV-184,40,40,Section IV,Form of Tender - Tender Name and Identification / To: Procuring Entity name,blank,Inherited,tender.title; tender.reference; procuring_entity.name,complete_tender.html - Section IV - Form of Tender,"prefilled from Tender identity, matches TDS",Reviewed,
COV-185,40,40,Section IV,Form of Tender - Alternative Tender identification No. [insert if applicable],option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S6: 'Alternative Tenders | Not permitted in this first pattern.'
COV-186,40,41,Section IV,Form of Tender clause (d) Conformity - goods/related services description [insert],blank,Generated,goods; related_services (delivery summary carried from Task 2 rows),complete_tender.html - Section IV - Form of Tender,matches the published Schedule of Requirements rows,Reviewed,
COV-187,41,41,Section IV,Form of Tender clause (e) Tender Price - Option 1 (one lot) / Option 2 (multiple lots),option_instruction,Supplier response,Form of Tender / Price Schedule (Option 1 rendered only),complete_tender.html - Section IV - Form of Tender,"one award package fixed per S2, so only the single-lot Option 1 wording is rendered",Reviewed,
COV-188,41,41,Section IV,Form of Tender clause (f) Discounts offered and calculation methodology,blank,Supplier response,Form of Tender,complete_tender.html - Section IV - Form of Tender,supplier-entered discount text present or 'none',Reviewed,
COV-189,41,41,Section IV,Form of Tender clause (k) State-owned enterprise declaration [select and delete the other],option_instruction,Supplier response,Form of Tender,complete_tender.html - Section IV - Form of Tender,supplier selects the applicable statement,Reviewed,
COV-190,41,42,Section IV,"Form of Tender clause (l) Commissions, gratuities, fees paid [insert or 'none']",blank,Supplier response,Form of Tender,complete_tender.html - Section IV - Form of Tender,supplier-entered disclosure present,Reviewed,
COV-191,42,42,Section IV,Form of Tender - Code of Ethics website reference [specify website],blank,Inherited,procuring_entity.contact_office,complete_tender.html - Section IV - Form of Tender,sourced from governed PE/platform data,Reviewed,
COV-192,42,42,Section IV,"Form of Tender - Tenderer name, authorised signatory name/title/signature/date",blank,Supplier response,Form of Tender,complete_tender.html - Section IV - Form of Tender,supplier-entered signatory block present,Reviewed,
COV-193,42,42,Section IV,"Form of Tender - remaining fixed declaration clauses (a,b,c,g,h,i,j,m,n,o,p,q,r,s)",form,Locked,"Section IV - Form of Tender, declaration body",complete_tender.html - Section IV - Form of Tender,"fixed wording present verbatim; supplier explicitly confirms/signs, KenTender does not preselect an answer",Reviewed,"Gate D remediation - review sweep: two issues found and fixed directly in complete_tender.html. (1) Clause (i) ""One Tender per Tenderer"" dropped the opening declaration ""We are not submitting any other Tender(s) as an individual tenderer, and"" - unambiguous source-verbatim fix, restored (line 716). (2) Clause (m) ""Binding Contract"" incorrectly read ""Letter of Award"" where it should read ""Letter of Acceptance"" (the correct GCC-defined term, used consistently elsewhere in this document at lines 444, 1095, 1110, 1541) - unambiguous fix, corrected (line 720)."
COV-194,43,43,Section IV,Certificate of Independent Tender Determination (form),form,Locked,Section IV - Certificate of Independent Tender Determination,complete_tender.html - Section IV - Certificate of Independent Tender Determination,"fixed wording present; Tenderer/Tender identity prefilled, supplier discloses and signs",Reviewed,
COV-195,43,43,Section IV,Certificate of Independent Tender Determination - Procuring Entity/Tender/Tenderer name blanks,blank,Inherited,procuring_entity.name; tender.title; tender.reference,complete_tender.html - Section IV - Certificate of Independent Tender Determination,"prefilled, matches Tender identity",Reviewed,
COV-196,43,43,Section IV,Certificate of Independent Tender Determination clause 5 - disclosure [check one],option_instruction,Supplier response,Certificate of Independent Tender Determination,complete_tender.html - Section IV - Certificate of Independent Tender Determination,supplier selects the applicable disclosure,Reviewed,
COV-197,44,44,Section IV,Certificate of Independent Tender Determination - Name/Title/Date signature block,blank,Supplier response,Certificate of Independent Tender Determination,complete_tender.html - Section IV - Certificate of Independent Tender Determination,supplier-entered signatory block present,Reviewed,"Gate D remediation - review sweep: dropped signature field found. Source Certificate of Independent Tender Determination signature block has three separate blank fields (Name, Title, Date); complete_tender.html rendered only Name and Date, omitting the standalone Title field. Unambiguous, low-risk fix - ""Title: ___"" line inserted between the Name and Date lines (complete_tender.html, after former line 772)."
COV-198,44,44,Section IV,Self-Declaration Forms (heading),heading,Locked,Section IV - Self-Declaration Forms heading,complete_tender.html - Section IV - Self-Declaration Forms,"present verbatim, unedited",Reviewed,
COV-199,44,44,Section IV,FORM SD1 - Self-declaration that person/Tenderer is not debarred,form,Locked,Section IV - Form SD1,complete_tender.html - Section IV - Form SD1,"fixed wording present; Tenderer/Tender identity prefilled, supplier signs",Reviewed,
COV-200,44,44,Section IV,FORM SD1 - deponent name/company/Tender No./title/PE name blanks,blank,Inherited,procuring_entity.name; tender.title; tender.reference,complete_tender.html - Section IV - Form SD1,"prefilled, matches Tender identity",Reviewed,
COV-201,44,44,Section IV,FORM SD1 - Title/Signature/Date and Bidder Official Stamp block,blank,Supplier response,Form SD1,complete_tender.html - Section IV - Form SD1,supplier-entered signatory block present,Reviewed,
COV-202,44,45,Section IV,FORM SD2 - Self-declaration that person/Tenderer will not engage in corrupt or fraudulent practice,form,Locked,Section IV - Form SD2,complete_tender.html - Section IV - Form SD2,"fixed wording present; Tenderer/Tender identity prefilled, supplier signs",Reviewed,
COV-203,45,45,Section IV,FORM SD2 - deponent name/company/Tender No./title/PE name blanks,blank,Inherited,procuring_entity.name; tender.title; tender.reference,complete_tender.html - Section IV - Form SD2,"prefilled, matches Tender identity",Reviewed,
COV-204,45,46,Section IV,Declaration and Commitment to the Code of Ethics (form),form,Locked,Section IV - Declaration and Commitment to the Code of Ethics,complete_tender.html - Section IV - Code of Ethics Declaration,fixed wording present; supplier signs and commits,Reviewed,
COV-205,45,46,Section IV,Code of Ethics declaration - signatory name/position/address/firm/date/witness blanks,blank,Supplier response,Declaration and Commitment to the Code of Ethics,complete_tender.html - Section IV - Code of Ethics Declaration,supplier-entered signatory and witness block present,Reviewed,
COV-206,46,48,Section IV,"Appendix 1 - Fraud and Corruption (fixed legal text, not to be modified)",form,Locked,Section IV - Appendix 1: Fraud and Corruption,complete_tender.html - Section IV - Appendix 1,"present verbatim, unedited (source states 'Appendix 1 shall not be modified')",Reviewed,"Gate D remediation - review sweep: Appendix 1 (Fraud and Corruption) ""obstructive practice"" definition dropped the trailing cross-reference ""provided for under paragraph 2.3 e. below."" Unambiguous, low-risk, source-verbatim fix - restored directly in complete_tender.html."
COV-207,49,49,Section IV,Tenderer Information Form (heading and instructions),form,Locked,Section IV - Tenderer Information Form,complete_tender.html - Section IV - Tenderer Information Form,"fixed wording present; Tender identity prefilled, supplier completes",Reviewed,
COV-208,49,49,Section IV,Tenderer Information Form - Date/Tender Name/Alternative No. blanks,blank,Inherited,tender.title; tender.reference,complete_tender.html - Section IV - Tenderer Information Form,"prefilled, matches Tender identity",Reviewed,
COV-209,49,49,Section IV,Tenderer Information Form - Alternative No. [if this is a Tender for an alternative],option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S6: 'Alternative Tenders | Not permitted in this first pattern.'
COV-210,49,49,Section IV,"Tenderer Information Form - items 1-7 (name, JV members, registration, address, representative, attached documents)",blank,Supplier response,Tenderer Information Form,complete_tender.html - Section IV - Tenderer Information Form,supplier-entered identity and document checklist present,Reviewed,"Gate D remediation - review sweep: Tenderer Information Form item 7 lost its source ITT clause cross-references (ITT 3.14/3.4/3.1/4.6), and source item 8 (""organizational chart and list of Board of Directors"") is missing from the rendered table entirely (only items 1-7 rendered). See open_issues.md Gate D remediation - review sweep findings, item 42. Resolved 2026-08-28 (Gate D second-round decision): Fully restored per product-owner decision (#42): ITT cross-references (3.14, 3.4, 3.1, 4.6 i-iii) reinstated in item 7; item 8 (organizational chart and Board of Directors list) added."
COV-211,49,49,Section IV,Tenderer Information Form - JV member details (item 2),blank,Supplier response,,"complete_tender.html - Tenderer Information Form, item 2",supplier-completed blank present,Reviewed,"STD-TPL-001 S9.2: 'joint-venture information only when permitted and used.' No approved JV decision exists in S7/S13 for this release, so the JV-member sub-field is not an active input; the form field itself remains printed as Locked wording pending a future JV-enabled release. Resolved 2026-08-28 (Gate D second-round decision): JV member details reinstated as an active supplier-response field (#38), consistent with including the JV Members Information Form."
COV-212,50,52,Section IV,"Tenderer's Eligibility - Confidential Business Questionnaire Form (heading, instructions, table A)",form,Locked,Section IV - Tenderer's Eligibility Confidential Business Questionnaire Form,complete_tender.html - Section IV - Confidential Business Questionnaire Form,"fixed wording present; Tender identity prefilled, supplier completes",Reviewed,
COV-213,50,50,Section IV,"Confidential Business Questionnaire - Table A items 1,4,5 (PE name, Tender reference, opening date/time)",blank,Inherited,procuring_entity.name; tender.reference; tender.opening_datetime,complete_tender.html - Section IV - Confidential Business Questionnaire Form,"prefilled, matches Tender identity",Reviewed,
COV-214,50,52,Section IV,"Confidential Business Questionnaire - Table A items 2,3,6,7 and Sole Proprietor/Partnership/Registered Company detail blocks",blank,Supplier response,Confidential Business Questionnaire Form,complete_tender.html - Section IV - Confidential Business Questionnaire Form,supplier-entered business structure details present,Reviewed,"Gate D remediation - review sweep: source provides repeatable multi-row tables for Partnership (multiple Partners) and Registered Company (multiple Directors) details in the CBQ form; the render collapses each into a single inline blank line, losing the ability to list more than one partner/director. See open_issues.md Gate D remediation - review sweep findings, item 43. Resolved 2026-08-28 (Gate D second-round decision): Restored repeatable static table rows (3 rows each) for Partnership and Registered Company Director detail, matching the official layout, per product-owner decision (#43). No Jinja loop or new insertion key used - static blank rows only."
COV-215,50,52,Section IV,Confidential Business Questionnaire - (e) Disclosure of Interest / Conflict of interest table (items 1-9),table,Supplier response,Confidential Business Questionnaire Form,complete_tender.html - Section IV - Confidential Business Questionnaire Form,supplier-entered conflict-of-interest disclosure present,Reviewed,
COV-216,52,52,Section IV,Confidential Business Questionnaire - (f) Certification name/title/signature/date,blank,Supplier response,Confidential Business Questionnaire Form,complete_tender.html - Section IV - Confidential Business Questionnaire Form,supplier-entered certification present,Reviewed,
COV-217,53,54,Section IV,Tenderer's JV Members Information Form,form,Supplier response,,complete_tender.html - Tenderer's JV Members Information Form (full form),"form present, all fields blank supplier-response",Reviewed,"STD-TPL-001 S9.2: 'joint-venture information only when permitted and used.' No JV decision is authorised in S7/S13 for this release, so this form is not part of the Version 1.0 supplier package; it remains a reviewed but inactive form for a future JV-enabled release. Resolved 2026-08-28 (Gate D second-round decision): Form included per product-owner decision (#38) - Version 1.0 places no cap on JV membership, so the form supporting JV member disclosure is retained rather than excluded. forms_register.csv FORM-JV changed to included=TRUE."
COV-218,55,55,Section IV,Price Schedule Forms (heading and instructions),heading,Locked,Section IV - Price Schedule Forms heading and instructions,complete_tender.html - Section IV - Price Schedule Forms,"present verbatim, unedited",Reviewed,
COV-219,56,56,Section IV,"Price Schedule: Goods Manufactured Outside Kenya, to be Imported (Group C)",table,Not used by this released pattern,,N/A - variant not included,N/A - variant not included,Reviewed,"STD-TPL-001 S8.3 defines a single supplier price row structure generated from Task 2 (item identity, quantity, unit price, line total, subtotal, tax rows, Tender total); it does not model the Margin-of-Preference Group A/B/C import/EXW price-schedule variants, and S6 leaves margin of preference/reservation unapproved for Version 1.0. Resolved 2026-08-28 (Gate D second-round decision): Not used as a SEPARATE form (#41) - its distinguishing content (CIP pricing, inland transportation for imported goods) is merged into the single unified Price Schedule - Goods table in complete_tender.html, which now carries an Import status column and applicable duty/tax/local-content columns per line item, rather than three separate officer-selectable schedules."
COV-220,57,57,Section IV,"Price Schedule: Goods Manufactured Outside Kenya, already imported (Group C)",table,Not used by this released pattern,,N/A - variant not included,N/A - variant not included,Reviewed,"Same basis as the 'to be Imported' variant above: STD-TPL-001 S8.3 uses one generated price-row structure, not the Group A/B/C import-history variant. Resolved 2026-08-28 (Gate D second-round decision): Not used as a SEPARATE form (#41) - its distinguishing content (customs duties/import taxes paid, unit price net of duties) is merged into the single unified Price Schedule - Goods table in complete_tender.html. See COV-219."
COV-221,58,58,Section IV,Price Schedule: Goods Manufactured in Kenya (Group A and B),table,Generated,goods (Task 2 rows); price.unit_price (supplier response); price.line_total; price.subtotal; price.tax_rows; price.tender_total,complete_tender.html - Section IV - Price Schedule (Goods),"one row per goods item, generated columns reconcile with Task 2 and Task 3 per STD-TPL-001 S8.3",Reviewed,"STD-TPL-001 S8.3 selects one generated Price Schedule structure for this release; the Group A/B 'Manufactured in Kenya' layout is the closest official variant and is adapted to the fixed one-currency, no-margin-of-preference treatment (S6)."
COV-222,58,58,Section IV,Price and Completion Schedule - Related Services,table,Generated,related_services (Task 2 rows); price.unit_price; price.line_total,complete_tender.html - Section IV - Price and Completion Schedule (Related Services),rendered only when the authorised need includes related services (S8.2); reconciles with the goods/services rows,Reviewed,
COV-223,56,58,Section IV,Price Schedule forms - Tenderer name/signature/date footer,blank,Supplier response,Price Schedule Forms,complete_tender.html - Section IV - Price Schedule Forms,supplier-entered signatory block present,Reviewed,
COV-224,59,59,Section IV,FORM OF TENDER SECURITY [Option 1 - Demand Bank Guarantee],form,Locked,,"Section IV Tendering Forms - Form of Tender Security, Option 1 (Demand Bank Guarantee)",form published unconditionally alongside the Insurance Guarantee form (COV-226); not an officer or template selection,Reviewed,"Resolved 2026-08-28 (product owner): per ITT 18.3 (source page 21), a Tender Security may legally be furnished as cash, a bank guarantee, an insurance-company guarantee, a letter of credit, or a guarantee by a deposit-taking micro-finance institution/Sacco/YEDF/WEF, at the Tenderer's option. Choice of instrument is the supplier's, not a Procurement Officer or template release choice, so this is not a S6 'select the permitted variant' decision. Both published forms (Demand Bank Guarantee and Insurance Guarantee) are retained as Locked, always-published forms; treatment changed from Officer value."
COV-225,59,59,Section IV,Form of Tender Security [Option 1] - Applicant/Beneficiary/amount/guarantee-No. blanks,blank,Generated,tender.reference; tender.tender_security.currency; tender.tender_security.amount; tender.tender_security.bank_guarantee_expiry_date,complete_tender.html - Section IV - Form of Tender Security (Demand Bank Guarantee),"amount/currency match Task 1; expiry uses the guarantee-specific computed date (validity_date + 30 days), not the raw validity date",Reviewed,"Supplier (via their bank) completes Applicant identity and guarantee number; Tender-set values (reference, currency, amount, expiry date) are Generated and pre-filled for the supplier's bank to use. Row kept at Generated for the pre-filled Tender-set fields; the blank itself is completed by the supplier's issuing bank at submission. Gate E item 46 (2026-08-28): owner_key corrected from tender.validity_date to the dedicated tender.tender_security.bank_guarantee_expiry_date Generated key, since the guarantee expires 30 days after validity_date, not on validity_date itself."
COV-226,60,61,Section IV,FORM OF TENDER SECURITY [Option 2 - Insurance Guarantee],form,Locked,,"Section IV Tendering Forms - Form of Tender Security, Option 2 (Insurance Guarantee)",form published unconditionally alongside the Demand Bank Guarantee form (COV-224); not an officer or template selection,Reviewed,"Resolved 2026-08-28 (product owner), reversing the earlier Pass-2 default: this is not an unused competing form under S6. ITT 18.3 (source page 21) lists five legally permitted Tender Security instruments (cash, bank guarantee, insurance-company guarantee, letter of credit, deposit-taking micro-finance/Sacco/YEDF/WEF guarantee) at the Tenderer's option, not the Procuring Entity's. Both published Section IV forms (Demand Bank Guarantee and Insurance Guarantee) are retained as active, Locked, always-published forms."
COV-227,61,62,Section IV,FORM OF TENDER-SECURING DECLARATION,form,Not used by this released pattern,,complete_tender.html - Section IV - Form of Tender-Securing Declaration,included only when the officer's Task 1 security treatment selects Tender-Securing Declaration rather than a Tender Security,Reviewed,"Resolved 2026-08-28 (product owner): Version 1.0 uses a Tender Security (KEBS fixture S13 specifies a monetary amount, KES 300,000), not a Tender-Securing Declaration. Per S6 'Official form variants... do not publish unused competing forms as active choices', the Tender-Securing Declaration form is an inactive variant and is excluded from complete_tender.html."
COV-228,61,62,Section IV,Tender-Securing Declaration - Tender No./Purchaser name/suspension period blanks,blank,Not used by this released pattern,,complete_tender.html - Section IV - Form of Tender-Securing Declaration,"prefilled, matches Tender identity",Reviewed,"Resolved 2026-08-28 (product owner): inactive because Version 1.0 uses a Tender Security, not a Tender-Securing Declaration (see COV-227). These blanks are part of the excluded form."
COV-229,62,62,Section IV,Tender-Securing Declaration - suspension period [insert number of months or years],blank,Not used by this released pattern,,complete_tender.html - Section IV - Form of Tender-Securing Declaration,N/A - form excluded,Reviewed,"Resolved 2026-08-28 (product owner): Version 1.0 uses a Tender Security, not a Tender-Securing Declaration, so this form (and its suspension-period blank) is an inactive variant per S6 and is excluded. Never to be made an officer-entered value; if a future release supports the Declaration path instead, the suspension period must be locked into that template version by the procurement/legal reviewer, not entered per Tender."
COV-230,62,63,Section IV,MANUFACTURER'S AUTHORIZATION FORM,form,Officer value,submission.manufacturer_authorisation_required,complete_tender.html - Section IV - Manufacturer's Authorization Form,"included only when Task 4 'Manufacturer authorisation required' is set (S7.2, S9.3)",Reviewed,
COV-231,63,63,Section IV,Manufacturer's Authorization Form - ITT No./Alternative No./PE name blanks,blank,Inherited,tender.reference; procuring_entity.name,complete_tender.html - Section IV - Manufacturer's Authorization Form,"prefilled, matches Tender identity",Reviewed,
COV-232,63,63,Section IV,Manufacturer's Authorization Form - Alternative No. [if this is a Tender for an alternative],option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S6: 'Alternative Tenders | Not permitted in this first pattern.'
COV-233,63,63,Section IV,Manufacturer's Authorization Form - manufacturer name/goods/factory address/signature blanks,blank,Supplier response,Manufacturer's Authorization Form,complete_tender.html - Section IV - Manufacturer's Authorization Form,supplier/manufacturer-entered identity and signature present,Reviewed,
COV-234,66,66,Section V,Part 2: Supply Requirements / Section V - Schedule of Requirements (heading),heading,Locked,"Section V heading, unmodified",complete_tender.html - Section V heading,"present verbatim, unedited",Reviewed,
COV-235,66,66,Section V,Notes for Preparing the Schedule of Requirements (preparer guidance),preparer_instruction,Not used by this released pattern,,"Excluded from complete_tender.html (guidance to the document preparer, not Tenderer-facing content)",N/A - page is discarded during curation,Reviewed,"Consistent with Guideline 6 (source page 5) treatment of preparer-facing notes; this note explains how to prepare S1 (below), which is itself rendered as Generated goods rows rather than free-form guidance text."
COV-236,67,67,Section V.1,List of Goods and Delivery Schedule (table),table,Generated,"goods[] (item_number, description, quantity, unit, destination, latest_delivery_date, minimum_warranty - officer per S8.1; offered_delivery_date - supplier response)",complete_tender.html - Section V.1 - Goods schedule,one row per authorised goods line; total quantity reconciles with the Requisition; latest delivery date not later than the authorised date,Reviewed,
COV-237,68,68,Section V.2,List of Related Services and Completion Schedule (table),table,Generated,"related_services[] (service_number - generated; description, quantity, unit, place_of_performance, completion_date - officer per S8.2; supplier price - supplier response)",complete_tender.html - Section V.2 - Related services schedule,rendered only when the authorised need includes installation/testing/configuration/training (S8.2); each row within the authorised delivery boundary,Reviewed,
COV-238,68,69,Section V.3,Technical Specifications - preparer guidance (3.1-3.4),preparer_instruction,Not used by this released pattern,,"Excluded from complete_tender.html (guidance to the PE on drafting a full TS, superseded by the controlled document treatment)",N/A - guidance not rendered,Reviewed,"STD-TPL-001 S8.4 fixes the technical specification to one approved, controlled PDF (component-by-component drafting guidance is not re-implemented as officer fields): 'KenTender does not require the officer to retype its component-by-component content.'"
COV-239,69,69,Section V.3.5,Summary of Technical Specifications table (Item No / Name / TS and Standards) and detailed TS free text,table,Governed document,technical_specification.title; technical_specification.version; technical_specification.approval_date; technical_specification.publication_filename; technical_specification.file_digest,complete_tender.html - Section V - Technical Specification cover sheet,"file exists, Approved status, approval date and digest recorded, readable PDF (STD-TPL-001 S8.4 items 2-3, S16 'Technical document' gate)",Reviewed,
COV-240,69,69,Section V.4,Drawings - inclusion statement [insert 'the following' or 'no'] and List of Drawings table,option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,"STD-TPL-001 S2 binding decision limits the first template to 'Laptops, desktops, tablets, peripherals and closely related delivery services' with the technical specification handled as one controlled PDF (S8.4); no separate engineering-drawings register is an approved Version 1.0 value."
COV-241,69,69,V.4 / V.5,Inspections and Tests [insert list of inspections and tests],blank,Officer value,contract.inspection_acceptance_office,complete_tender.html - Section V.4 Drawings (Not applicable) and V.5 Inspections and Tests,present in Task 5; STD-TPL-001 S10 'Inspection and tests | Approved technical specification and officer acceptance location',Reviewed,"Gate D remediation - review sweep: register's render_location states ""Section V.5 - Inspections and Tests"" but the actual rendered heading is ""V.4 Inspections and Tests"" (source numbers this section 5, following an excluded V.4 Drawings section that this document deliberately omits per S2). Internally self-consistent (no dangling ""V.5"" cross-references found) but a real mismatch between register metadata and rendered numbering. See open_issues.md Gate D remediation - review sweep findings, item 44. Resolved 2026-08-28 (Gate D second-round decision): Source numbering preserved per product-owner decision (#44): V.4 Drawings rendered as 'Not applicable for this Tender', followed by V.5 Inspections and Tests (renumbered from the interim V.4)."
COV-242,86,86,Section VII,"Section VII - Special Conditions of Contract (heading and lead-in note, incl. duplicated heading/lead-in on source pages 86)",heading,Generated,scc.* (rendered as a whole from S7 officer/generated values and S10 fixed release choices),complete_tender.html - Section VII heading,"every SCC row below is resolved, none left blank",Reviewed,
COV-243,86,86,Section VII,"SCC preparer instruction: 'select/insert appropriate wording using samples, delete italics'",preparer_instruction,Locked,Section VII heading area (instruction removed from rendered output once resolved),complete_tender.html - Section VII heading,no bracketed drafting instruction remains in the rendered output (STD-TPL-001 S11 'no [insert ...] instructions'),Reviewed,
COV-244,86,88,Section VII,SCC row - GCC 1.1(h): Procuring Entity legal name,blank,Inherited,procuring_entity.name,complete_tender.html - Section VII - Special Conditions of Contract,present in governed PE data,Reviewed,
COV-245,86,88,Section VII,SCC row - GCC 4.2(a): Trade terms / Incoterms edition wording,blank,Locked,Section VII - fixed released Incoterms treatment,complete_tender.html - Section VII - Special Conditions of Contract,present verbatim per the released release choice,Reviewed,
COV-246,86,88,Section VII,SCC row - GCC 4.2(b): Incoterms edition (INCOTERMS 2015),blank,Locked,Section VII - fixed released Incoterms treatment,complete_tender.html - Section VII - Special Conditions of Contract,present verbatim per the released release choice,Reviewed,
COV-247,86,88,Section VII,SCC row - GCC 8.1: Procuring Entity notice address (attention/postal/physical/telephone/email),blank,Inherited,procuring_entity.contact_office,complete_tender.html - Section VII - Special Conditions of Contract,"sourced from governed PE/platform data, not free text",Reviewed,
COV-248,86,88,Section VII,SCC row - GCC 10.4.2: Place of arbitration (city and country),blank,Not used by this released pattern,,complete_tender.html - Section VII - Special Conditions of Contract,N/A - clause not rendered,Reviewed,STD-TPL-001 S10 does not name a separate arbitration-venue officer value; this narrow release relies on the fixed GCC dispute-resolution clause (GCC 10) without a PE-specific arbitration seat.
COV-249,86,88,Section VII,SCC row - GCC 13.1: Shipping and other documents required from the Supplier,blank,Locked,,"complete_tender.html - SCC GCC 13.1, fixed Version 1.0 wording",fixed text present verbatim; no officer field,Reviewed,"Resolved 2026-08-28 (Gate C): renders as Locked fixed Version 1.0 wording, not an officer field. STD-TPL-001 v0.3 S7.2's Task 5 list does not include shipping/delivery documents. Any item-specific requirement belongs in the approved technical specification or goods schedule instead."
COV-250,86,88,Section VII,"SCC row - GCC 15.1: Prices shall/shall not be adjustable, and adjustment method if adjustable",blank,Not used by this released pattern,,complete_tender.html - Section VII - Special Conditions of Contract,N/A - clause not rendered,Reviewed,STD-TPL-001 S6/S10: 'Price adjustment | Prices fixed in this first pattern.' Rendered fixed to 'shall not be adjustable' with no adjustment formula.
COV-251,86,88,Section VII,"SCC row - GCC 16.1: Payment method and conditions (advance/shipment/delivery/acceptance percentages, foreign vs local currency portions)",blank,Officer value,contract.payment_days; contract.payment_terms,complete_tender.html - Section VII - Special Conditions of Contract,"Officer selects only among released, non-advance payment-timing options; no advance-payment percentage field is offered",Reviewed,"Resolved 2026-08-28 (product owner): advance payment is fixed at 0% for Version 1.0 (release decision, not an officer choice). The rendered SCC row must state the approved payment rule only - payment after delivery, inspection, acceptance and receipt of a valid invoice - and must not present an advance-payment percentage as an option. Officer value scope is narrowed to payment timing/percentage split across delivery vs. acceptance, if any, not advance payment."
COV-252,86,88,Section VII,SCC row - GCC 16.5: Payment-delay interest period and rate,blank,Not used by this released pattern,,complete_tender.html - Section VII - Special Conditions of Contract,N/A - clause not rendered,Reviewed,STD-TPL-001 S7.2/S10 name only 'Payment timing' as the officer-selected payment value; a separate delay-interest rate is not an approved Version 1.0 field.
COV-253,86,88,Section VII,"SCC row - GCC 18.1: Performance Security shall/shall not be required, amount",blank,Officer value,contract.performance_security.required; contract.performance_security.percentage,complete_tender.html - Section VII - Special Conditions of Contract,present in Task 5; STD-TPL-001 S7.2/S10 'Performance security | Officer selection and percentage within the released choices'; S13 fixture: 10% of Contract Price,Reviewed,
COV-254,86,88,Section VII,SCC row - GCC 18.3: Performance Security form (Demand Guarantee or Performance Bond) and currency,blank,Officer value,contract.performance_security.form_variant,complete_tender.html - Section VII - Special Conditions of Contract,selected once per S6 'Official form variants | Select the permitted ... performance security ... form variants; do not publish unused competing forms as active choices',Reviewed,
COV-255,86,88,Section VII,"SCC row - GCC 18.4: Discharge date of the Performance Security, if different from GCC 18.4",blank,Not used by this released pattern,,complete_tender.html - Section VII - Special Conditions of Contract,N/A - clause not rendered,Reviewed,Not named in STD-TPL-001 S7/S10; the release uses the fixed GCC 18.4 discharge rule without a PE override.
